Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence
IMG_0112_JPG_jpg.rf.28bf596d23aed46554e2d880afc47755,Unknown,None,None,None,0.0
IMG_0112_JPG_jpg.rf.5d304b669f29344f7a5baf22f6802934,Unknown,None,None,None,0.0
IMG_0112_JPG_jpg.rf.a15e2d2c3419ef4c066643cab457939d,Unknown,None,None,None,0.0
IMG_0112_JPG_jpg.rf.d64dbef9652cb729d63d21011b09fe57,Unknown,None,None,None,0.0
IMG_0112_JPG_jpg.rf.d9020a0984f5b20d17bae3c4137c3f89,Unknown,None,None,None,0.0
IMG_0112_jpg.rf.54c8744ff8269334a85a0265c68410c7,Unknown,None,None,None,0.0
IMG_0112_jpg.rf.58e24a8de2f6718c3be269629c9c4a23,Unknown,None,None,None,0.0
IMG_0112_jpg.rf.6f02e0ff893f5df7a50337add298f2a8,Unknown,None,None,None,0.0
IMG_0113_jpg.rf.44b53dd1073fbcf471879bc4b60e7014,Unknown,None,None,None,0.0
IMG_0113_jpg.rf.602788fdb7673c8b2a15a21ab4861b4d,Unknown,None,None,None,0.0
IMG_0113_jpg.rf.bbfd54333078a6cbdfdb897b66561352,Unknown,None,None,None,0.0
IMG_0114_jpg.rf.058174939fa118a4a48eae9f78a2b367,Fire Incident,fire,1 fire region,None,0.46
IMG_0114_jpg.rf.07898a96978bdb836bd717e29b916d29,Unknown,None,None,None,0.0
IMG_0114_jpg.rf.170d719c3736d75dc0026a02a33e13bb,Fire Incident,fire,1 fire region,None,0.46
IMG_0114_jpg.rf.c86a27d9f5757c9120c7073142d97688,Unknown,None,None,None,0.0
IMG_0114_jpg.rf.e8acbdada5d81c6c6cbc924db305fbdc,Unknown,None,None,None,0.0
IMG_0114_jpg.rf.f8f5a16c8263076c41d34d47f4373b9f,Unknown,None,None,None,0.0
IMG_0116_jpg.rf.1dec92c943752d6781374d6b179eede5,Unknown,None,None,None,0.0
IMG_0116_jpg.rf.925b8f2603bc6bcab88c2e764227e85c,Unknown,None,None,None,0.0
IMG_0116_jpg.rf.c38e91d2ff9586511982338c7e4171a9,Unknown,None,None,None,0.0
IMG_0119_jpg.rf.0f73ae27fe1856a8dbd57153a32cb918,Unknown,None,None,None,0.0
IMG_0119_jpg.rf.da94d6d905c7a262b395eccc77c1dd5e,Unknown,None,None,None,0.0
IMG_0119_jpg.rf.dc9f09607ca32c709ba829b2745b62d8,Unknown,None,None,None,0.0
IMG_0121_jpg.rf.16703c3226038d88dbf06f0789c9fd40,Unknown,None,None,None,0.0
IMG_0121_jpg.rf.225bbc42166e719285938b19c4b94d59,Fire Incident,fire,1 fire region,None,0.48
IMG_0121_jpg.rf.3143cb80ca1a62899efe263773affa9d,Unknown,None,None,None,0.0
IMG_0121_jpg.rf.6a73a62e010833c768c9db42929977e3,Unknown,None,None,None,0.0
IMG_0121_jpg.rf.6d73a091221bc8fee6245545f8aecaa1,Fire Incident,fire,1 fire region,None,0.42
IMG_0121_jpg.rf.834d0de2301eedcb5c9266860a72f5f5,Unknown,None,None,None,0.0
IMG_0121_jpg.rf.892261a0608345101e659734b0e3eb85,Unknown,None,None,None,0.0
IMG_0121_jpg.rf.ca10159a261738b8ece25b67f3610bcd,Unknown,None,None,None,0.0
IMG_0121_jpg.rf.d186a5730847d39555c3b24e041ebfad,Unknown,None,None,None,0.0
IMG_0124_jpg.rf.26ed4ebe98819221f5b5939c2bc0399f,Unknown,None,None,None,0.0
IMG_0124_jpg.rf.358c6d26b572709a3fa812edb8c50c04,Unknown,None,None,None,0.0
IMG_0124_jpg.rf.996da0c1604166050009453386c2e299,Unknown,None,None,None,0.0
IMG_01275d5d68568970_jpg.rf.4c6dab9d10cc2a3ea11ad8104e3ee801,Unknown,None,None,None,0.0
IMG_01275d5d68568970_jpg.rf.b8c7bf59f09628bc3f9be999de9edeba,Unknown,None,None,None,0.0
IMG_01275d5d68568970_jpg.rf.f4eaa31c8e41f45b979969172a379834,Unknown,None,None,None,0.0
IMG_0128_jpg.rf.3c8b1f9457520bf90f4230c7d80ac75a,Unknown,None,None,None,0.0
IMG_0128_jpg.rf.4a29d37cbad244f8b70da154d8226639,Unknown,None,None,None,0.0
IMG_0128_jpg.rf.9c3ef405743cf6d39ae366d65cbf8a33,Unknown,None,None,None,0.0
IMG_0130_jpg.rf.27fd403bc6b23c28a3b5fc6342de98ca,Fire Incident,fire,1 fire region,None,0.43
IMG_0130_jpg.rf.5edcb1a38f895ca514ea9f7b8b8a3072,Unknown,None,None,None,0.0
IMG_0130_jpg.rf.dd2d39700ef6d6f66b1bde05f8f687d9,Unknown,None,None,None,0.0
IMG_0131_jpg.rf.02edb45795a5d4911ea95002c8d893f4,Fire Incident,fire,1 fire region,None,0.44
IMG_0131_jpg.rf.6a7cf5a858cccd9476220bbfde70ce2c,Fire Incident,fire,1 fire region,None,0.62
IMG_0131_jpg.rf.f967f71c96f9b0338484707b8cc967d5,Fire Incident,fire,1 fire region,None,0.48
IMG_0132_jpg.rf.175cdd17c1446fd435d583c1cae450a2,Unknown,None,None,None,0.0
IMG_0132_jpg.rf.a2396e675ea3eec0704128277a00f8eb,Unknown,None,None,None,0.0
IMG_0132_jpg.rf.b1ec3279a8d5ea4d228f34e71fdc007d,Unknown,None,None,None,0.0
IMG_0132_jpg.rf.b7e9ee8f311b37573e3e4dbd03903614,Unknown,None,None,None,0.0
IMG_0132_jpg.rf.b8c44e5c2a01affc933668e5630437bf,Unknown,None,None,None,0.0
IMG_0132_jpg.rf.c5ddbad7985233dc2b0741d3c768f288,Unknown,None,None,None,0.0
IMG_0134_jpg.rf.47af5e0b73f3a64f9bf25526e29aae53,Fire Incident,fire,1 fire region,None,0.68
IMG_0134_jpg.rf.5c3c328bc21cd59fa1600c86bf5f8615,Unknown,None,None,Campfire and sausages,0.0
IMG_0134_jpg.rf.5dcf68cd370f64e895b01bee7db2f97d,Unknown,None,None,None,0.0
IMG_0134_jpg.rf.8acf294f9794cf9138622d1f392bd329,Fire Incident,fire,1 fire region,None,0.62
IMG_0134_jpg.rf.a0f1b9714be202580475b2a29de41df7,Fire Incident,fire,1 fire region,Campfire and sausages,0.43
IMG_0134_jpg.rf.b521ff8ed65442b58e2132ad08ed2ed0,Unknown,None,None,Campfire and sausages,0.0
IMG_0134_jpg.rf.be97860a11d401f6780bc6b862a24490,Unknown,None,None,None,0.0
IMG_0134_jpg.rf.ef5d22b3d0707e706a2deebbcf41a0b7,Fire Incident,fire,1 fire region,fire andl Sausages,0.6
IMG_0134_jpg.rf.f4f3c4536e7ca862d03dc3c790ebdc58,Unknown,None,None,None,0.0
IMG_0135_jpg.rf.0baba399935b5fefa69747c4e0c5e93e,Unknown,None,None,None,0.0
IMG_0135_jpg.rf.390aeebd0aa22ae075620cdbeec2581b,Unknown,None,None,None,0.0
IMG_0135_jpg.rf.7128a9191a18e765dc04cf99740fbb3d,Unknown,None,None,None,0.0
IMG_0136_jpg.rf.00ced6369cb7aab6760cb43d016baa8d,Fire Incident,fire,1 fire region,None,0.81
IMG_0136_jpg.rf.12ef5193a286b895d848cb136a4e6350,Unknown,None,None,None,0.0
IMG_0136_jpg.rf.5c7ba19217f030205b1d6c6b036a65a3,Unknown,None,None,None,0.0
IMG_0136_jpg.rf.6020f1daa106e9c5dfccf3dbf2644099,Unknown,None,None,None,0.0
IMG_0136_jpg.rf.754c0566d3527fbe96a094720a63164f,Unknown,None,None,None,0.0
IMG_0136_jpg.rf.abed6da9a77ff2ec6a3eafbcc077ea3e,Unknown,None,None,None,0.0
IMG_0136_jpg.rf.de064a553bc945ee68314b372eba2e09,Fire Incident,fire,1 fire region,None,0.49
IMG_0136_jpg.rf.e3175fd853276f4cbd356b2c13d46534,Fire Incident,fire,1 fire region,None,0.67
IMG_0136_jpg.rf.e9aeb33b14eca265650e6844ef3f68b3,Unknown,None,None,None,0.0
IMG_0137_jpg.rf.3de7237212fbce602ca41ec55cd90e47,Fire Incident,fire,1 fire region,None,0.73
IMG_0137_jpg.rf.56f9f5cc868dc89d5a0a0db941fe1fb1,Fire Incident,fire,1 fire region,None,0.79
IMG_0137_jpg.rf.788806e4affd7053552d6a38bc69e20b,Fire Incident,fire,1 fire region,None,0.57
IMG_0137_jpg.rf.7a0518d2aa69f40657706afcda20ccf8,Fire Incident,fire,1 fire region,None,0.74
IMG_0137_jpg.rf.b38075042cb2ea3840dfb7c14094d648,Fire Incident,fire,1 fire region,None,0.53
IMG_0137_jpg.rf.cf7669788e3c651f3c5b77a745ff206a,Fire Incident,fire,1 fire region,None,0.41
